user_id,product_id,event
136,17,view
174,118,view
135,20,cart
135,150,purchase
164,120,view
113,33,view
108,63,cart
111,79,view
144,74,purchase
151,34,view
168,17,cart
159,138,view
115,45,view
150,50,purchase
138,101,purchase
153,40,cart
116,6,purchase
171,26,cart
111,70,view
191,89,view
111,95,cart
160,108,cart
152,127,view
191,52,cart
175,59,cart
122,73,cart
190,58,cart
153,51,cart
100,67,purchase
108,7,view
114,46,view
102,61,cart
198,8,view
128,22,cart
178,56,cart
170,144,cart
111,144,purchase
177,123,view
186,119,cart
149,95,purchase
110,102,purchase
124,42,purchase
113,100,cart
148,49,purchase
164,126,cart
151,139,view
153,118,view
197,69,cart
190,140,purchase
107,83,cart
178,51,purchase
116,70,purchase
105,63,cart
181,149,cart
168,3,cart
104,48,cart
141,97,cart
187,34,purchase
153,44,purchase
111,23,purchase
132,12,purchase
152,116,view
142,107,purchase
136,124,view
190,33,view
110,144,purchase
130,12,view
111,99,cart
126,16,cart
143,149,purchase
149,29,cart
138,3,purchase
162,8,cart
160,13,purchase
178,147,cart
158,115,purchase
147,72,cart
102,49,view
109,2,purchase
131,124,view
154,79,purchase
165,114,view
146,121,view
149,71,cart
110,133,cart
148,2,view
114,48,view
168,85,cart
170,45,view
155,47,cart
142,120,view
152,8,purchase
189,126,purchase
180,93,cart
139,43,view
181,39,purchase
106,82,view
133,4,view
196,23,purchase
167,137,purchase
180,77,view
110,9,cart
139,61,purchase
140,104,cart
121,26,cart
164,59,view
119,49,purchase
198,27,cart
134,56,cart
146,77,cart
105,56,cart
110,81,cart
192,67,view
159,106,view
102,55,cart
118,39,cart
159,136,purchase
129,104,cart
175,51,view
167,141,cart
124,117,purchase
165,79,cart
108,25,cart
193,75,cart
196,18,view
152,136,view
149,87,view
141,68,cart
186,122,purchase
117,64,view
157,59,cart
162,98,view
164,65,cart
102,88,cart
169,33,cart
197,111,view
128,100,cart
183,43,view
184,116,cart
124,56,cart
186,143,purchase
198,46,purchase
191,68,purchase
149,39,purchase
174,146,cart
104,20,view
166,97,view
147,100,cart
141,131,cart
193,101,purchase
155,19,view
124,25,purchase
118,78,purchase
160,1,view
161,69,purchase
161,98,view
144,54,cart
128,97,cart
160,135,view
193,31,purchase
118,12,view
140,146,view
115,109,cart
107,107,view
121,43,purchase
135,106,cart
138,112,view
172,54,purchase
101,116,view
123,145,purchase
193,40,cart
125,8,cart
105,63,purchase
184,46,purchase
144,97,cart
100,143,view
141,58,purchase
152,31,cart
198,39,view
113,61,view
114,79,cart
179,78,purchase
136,22,cart
140,83,view
167,2,cart
132,83,purchase
105,14,cart
150,130,view
132,66,purchase
141,76,view
174,136,purchase
164,30,cart
199,116,view
135,79,cart
137,150,cart
183,24,cart
196,119,purchase
136,57,view
120,1,purchase
158,32,cart
137,86,view
191,10,cart
121,21,purchase
118,117,cart
176,55,cart
167,145,cart
112,139,purchase
113,148,cart
130,9,view
100,110,view
123,82,view
139,77,purchase
104,96,view
162,144,view
147,78,purchase
114,135,purchase
152,20,purchase
136,75,cart
185,73,view
172,106,view
175,43,purchase
143,61,cart
166,75,purchase
183,119,cart
185,112,view
116,73,cart
184,33,view
131,92,cart
186,122,cart
179,19,cart
134,139,view
100,94,purchase
106,74,view
106,121,purchase
138,43,cart
129,150,cart
121,47,cart
132,19,purchase
133,118,purchase
154,117,cart
108,68,view
146,133,view
124,95,purchase
136,87,cart
184,28,view
192,26,view
167,138,purchase
194,33,cart
134,96,purchase
167,118,view
142,16,view
155,105,view
122,133,purchase
193,25,purchase
149,98,cart
177,146,purchase
123,14,view
177,116,cart
133,49,purchase
177,33,cart
119,16,purchase
106,12,cart
179,63,view
158,77,purchase
174,134,purchase
158,132,purchase
157,118,view
111,148,purchase
100,2,cart
113,127,cart
174,44,purchase
188,1,view
167,5,view
194,140,purchase
115,101,view
102,119,purchase
109,43,purchase
140,23,cart
143,101,purchase
141,12,cart
172,129,view
109,23,purchase
134,12,view
103,140,view
113,86,cart
188,107,view
119,56,purchase
156,112,view
148,60,view
176,110,cart
175,26,cart
167,20,cart
177,34,purchase
162,137,purchase
184,54,view
120,104,purchase
198,50,view
174,79,cart
109,139,cart
133,66,view
101,92,view
187,130,view
182,32,purchase
122,99,purchase
137,108,purchase
133,132,view
103,40,purchase
134,135,view
165,136,view
133,134,cart
127,17,purchase
164,119,cart
197,20,purchase
172,61,view
130,29,cart
137,95,view
105,135,purchase
122,98,view
197,65,purchase
167,50,purchase
187,18,view
116,28,view
134,112,cart
151,31,purchase
162,76,purchase
139,31,purchase
148,144,purchase
197,38,view
148,79,view
194,9,purchase
172,57,purchase
184,27,view
120,124,view
156,51,purchase
110,28,view
192,67,purchase
198,130,cart
180,90,cart
167,68,view
132,126,view
171,115,cart
149,118,purchase
178,129,view
106,149,view
122,122,purchase
190,28,cart
170,17,purchase
164,89,purchase
196,63,view
111,21,view
118,83,view
178,8,cart
134,4,purchase
199,42,cart
102,51,cart
166,149,cart
172,114,view
152,36,view
171,126,view
144,71,cart
121,79,view
187,32,view
108,134,cart
156,76,purchase
157,85,cart
144,65,purchase
178,98,purchase
134,145,view
135,51,purchase
165,73,cart
146,33,purchase
166,19,view
101,63,view
107,62,view
105,123,purchase
146,33,view
142,130,cart
141,126,cart
197,28,purchase
190,49,view
135,50,purchase
159,101,purchase
133,104,cart
162,22,view
195,141,cart
112,53,cart
114,112,cart
146,18,view
135,1,view
172,45,purchase
197,121,view
157,60,purchase
138,91,cart
129,150,cart
192,142,purchase
133,67,view
155,115,purchase
127,46,cart
182,73,view
116,88,purchase
185,40,cart
133,75,purchase
132,44,purchase
186,103,view
129,58,view
149,79,cart
131,91,purchase
112,13,cart
182,52,purchase
199,105,purchase
106,17,cart
110,132,purchase
175,118,view
192,6,cart
105,97,purchase
128,42,view
145,79,purchase
175,9,cart
159,132,purchase
162,20,purchase
150,35,cart
160,38,cart
181,60,purchase
182,128,view
149,30,purchase
109,99,view
196,2,purchase
138,57,cart
147,42,view
114,89,view
115,56,purchase
159,70,cart
103,88,purchase
128,9,purchase
180,74,cart
184,12,view
149,80,cart
107,51,purchase
131,77,purchase
106,15,view
185,125,cart
184,60,view
191,96,view
115,38,view
129,111,purchase
174,82,cart
171,49,cart
132,68,purchase
168,27,view
143,119,purchase
140,87,purchase
179,86,purchase
108,150,purchase
103,48,purchase
148,30,purchase
199,86,purchase
175,131,cart
148,148,purchase
156,32,purchase
152,35,purchase
197,74,purchase
187,49,purchase
180,147,cart
199,83,view
130,61,view
105,36,cart
178,66,cart
140,99,cart
113,2,view
120,12,view
155,21,purchase
102,109,purchase
104,102,purchase
194,101,cart
102,50,cart
103,91,purchase
194,80,view
101,25,cart
175,31,cart
146,139,purchase
118,27,purchase
142,93,cart
139,122,view
159,14,purchase
186,46,view
167,82,purchase
133,129,view
124,77,purchase
161,114,purchase
142,38,view
185,63,view
140,121,view
177,17,view
120,97,purchase
155,34,purchase
131,146,cart
122,109,cart
104,27,purchase
192,102,cart
149,128,cart
199,123,view
189,34,view
100,133,view
199,124,cart
183,129,view
121,109,view
188,89,view
168,99,purchase
113,39,cart
156,20,cart
110,19,cart
173,71,view
126,68,cart
196,96,view
195,92,view
132,111,cart
103,65,cart
125,92,cart
172,33,purchase
173,144,cart
143,53,cart
198,109,cart
175,44,view
173,119,cart
175,81,view
150,146,purchase
183,102,view
114,50,purchase
184,34,cart
179,128,cart
131,46,cart
101,99,purchase
124,130,cart
156,58,purchase
121,146,cart
177,6,view
165,19,view
187,81,view
156,5,purchase
104,89,cart
177,13,view
103,31,purchase
155,135,cart
100,145,purchase
194,147,view
132,39,view
186,81,purchase
154,51,cart
156,71,view
191,83,purchase
118,25,view
146,89,cart
181,81,cart
174,50,cart
104,140,purchase
137,30,cart
188,78,view
122,20,view
159,10,cart
120,28,view
166,49,cart
192,79,cart
105,8,view
131,3,purchase
168,129,purchase
159,44,view
162,15,cart
130,89,cart
123,17,purchase
142,118,purchase
190,81,view
168,142,cart
143,56,purchase
194,75,purchase
113,148,purchase
102,146,purchase
108,96,view
122,124,purchase
128,53,view
111,62,cart
195,59,purchase
112,83,purchase
129,23,cart
101,87,view
105,1,cart
112,95,view
173,16,view
106,106,view
143,58,purchase
156,63,purchase
120,94,purchase
177,147,cart
195,122,purchase
118,132,view
121,125,view
167,52,purchase
140,89,cart
139,27,cart
112,33,purchase
120,147,cart
108,82,cart
199,80,cart
198,68,cart
140,78,cart
167,3,cart
181,19,view
170,109,view
159,22,view
182,50,cart
168,90,view
110,112,view
114,84,cart
196,37,purchase
138,149,view
179,102,view
127,116,purchase
170,73,purchase
186,108,purchase
156,12,view
127,86,purchase
192,36,view
124,92,view
198,92,view
137,134,cart
199,81,cart
186,115,purchase
135,45,view
174,130,view
139,142,purchase
175,3,cart
111,32,purchase
160,126,view
163,123,view
123,63,purchase
128,120,view
196,37,view
190,73,cart
123,19,cart
167,61,purchase
109,140,view
153,101,cart
120,95,view
151,64,purchase
114,35,purchase
110,65,view
125,100,cart
169,119,cart
108,31,view
135,116,purchase
190,94,view
182,62,purchase
140,58,view
139,56,purchase
183,40,view
114,49,cart
102,149,view
135,31,cart
174,38,purchase
177,84,cart
166,46,cart
132,54,cart
101,76,view
101,95,purchase
156,121,view
183,93,purchase
188,129,cart
148,39,purchase
100,148,cart
113,126,view
145,122,cart
177,138,cart
176,83,purchase
107,51,cart
104,73,purchase
101,150,purchase
121,136,view
102,13,view
137,47,view
136,7,view
124,90,view
108,35,cart
154,143,purchase
185,58,view
166,115,cart
187,98,purchase
143,81,cart
129,44,purchase
113,21,purchase
166,46,cart
133,71,cart
178,106,purchase
177,135,view
145,118,purchase
131,65,view
162,146,cart
113,114,view
111,8,purchase
109,5,view
161,52,cart
176,59,cart
140,60,cart
192,132,purchase
183,59,purchase
139,135,cart
104,106,purchase
145,42,purchase
133,89,view
143,15,view
155,25,cart
130,25,view
110,21,cart
118,91,purchase
145,93,purchase
194,88,cart
166,36,view
145,85,purchase
147,93,cart
152,110,purchase
199,92,view
187,31,cart
144,130,purchase
177,134,purchase
167,86,cart
165,113,purchase
141,62,purchase
186,16,view
120,64,purchase
162,137,view
177,139,purchase
188,13,cart
183,78,view
191,115,view
114,15,purchase
110,24,cart
191,79,cart
199,139,view
133,73,view
132,50,cart
136,45,purchase
134,128,cart
162,122,purchase
174,73,purchase
194,11,view
155,148,purchase
138,129,purchase
140,76,purchase
132,58,purchase
160,88,cart
111,26,purchase
105,64,cart
140,92,cart
144,20,purchase
168,97,view
121,142,cart
176,4,cart
125,116,view
118,19,purchase
189,95,cart
190,149,cart
105,128,cart
194,72,view
173,116,purchase
151,37,purchase
169,133,cart
195,145,purchase
107,92,purchase
115,67,purchase
100,66,purchase
188,80,purchase
186,49,cart
117,148,purchase
132,29,purchase
114,105,view
199,84,view
170,62,purchase
114,33,view
188,146,view
199,14,cart
161,71,purchase
158,105,cart
170,93,cart
150,47,cart
133,95,purchase
166,119,cart
179,129,view
149,114,view
118,81,view
151,21,cart
138,70,purchase
129,56,view
105,125,purchase
124,57,purchase
171,82,cart
190,126,view
163,140,cart
197,125,cart
103,134,purchase
102,73,view
123,150,purchase
101,29,purchase
196,48,view
128,14,cart
113,45,purchase
155,53,view
185,112,view
150,111,purchase
190,47,view
109,60,cart
193,108,cart
118,129,cart
102,58,cart
143,146,cart
111,85,purchase
121,46,purchase
156,32,view
125,73,cart
165,14,purchase
147,125,purchase
160,100,view
118,148,cart
128,64,purchase
110,88,cart
179,97,view
100,137,view
184,82,cart
191,100,cart
157,35,cart
104,57,purchase
142,141,view
174,99,purchase
130,127,cart
192,60,cart
185,45,view
188,2,cart
178,138,cart
124,24,view
103,125,purchase
161,46,purchase
136,39,purchase
197,8,purchase
195,23,purchase
177,67,cart
148,100,view
178,125,purchase
134,60,view
193,49,view
117,27,cart
170,63,purchase
123,19,purchase
128,119,purchase
141,120,cart
137,91,view
131,40,view
137,116,cart
155,93,purchase
169,37,cart
133,30,cart
151,48,view
114,31,purchase
104,9,cart
103,59,view
152,2,cart
184,36,purchase
137,86,purchase
115,97,view
193,142,cart
115,122,view
198,74,view
166,17,view
124,130,purchase
136,9,purchase
158,78,purchase
118,47,purchase
162,70,purchase
129,132,view
178,144,purchase
167,142,view
141,72,cart
165,27,cart
176,75,cart
182,126,purchase
134,135,cart
131,88,purchase
183,78,purchase
188,102,purchase
159,105,cart
187,122,view
136,133,purchase
188,83,purchase
125,77,view
193,35,view
183,42,cart
143,87,cart
115,72,cart
127,80,cart
121,114,purchase
139,54,purchase
117,55,purchase
112,26,cart
128,82,purchase
197,143,view
114,65,purchase
157,42,cart
154,45,purchase
116,85,view
152,93,view
146,139,view
113,76,view
128,46,purchase
135,53,purchase
174,67,cart
168,100,purchase
162,49,cart
182,51,purchase
186,22,view
103,34,view
143,40,view
190,131,cart
125,61,view
189,45,cart
104,150,view
126,41,purchase
114,59,cart
103,39,view
117,141,cart
118,81,purchase
196,71,cart
123,69,cart
145,26,cart
131,8,view
102,148,view
150,73,view
112,135,view
168,117,view
117,109,view
187,85,cart
113,60,view
199,109,purchase
180,66,cart
146,46,purchase
186,68,purchase
150,137,view
117,1,cart
132,37,cart
139,22,purchase
186,52,cart
151,61,cart
120,45,purchase
198,103,view
167,112,view
176,137,cart
143,72,view
139,122,purchase
152,85,cart
181,85,purchase
112,60,purchase
102,110,view
144,85,view
191,121,view
110,118,view
198,92,view
125,133,view
182,124,cart
162,77,cart
154,99,purchase
106,86,view
157,63,view
114,19,view
119,110,cart
138,74,purchase
153,81,purchase
153,24,cart
116,110,view
188,72,view
188,54,view
199,141,purchase
190,120,view
170,67,view
130,42,cart
151,26,view
121,21,purchase
105,94,cart
190,57,view
107,13,purchase
116,33,view
118,124,purchase
178,59,cart
102,63,cart
151,49,cart
133,50,purchase
158,34,purchase
150,58,cart
104,41,purchase
116,6,view
121,93,cart
137,32,purchase
151,53,cart
130,94,cart
137,69,cart
147,14,purchase
